PersonType,FirstName,LastName,OrganizationLevel,JobTitle,Birthdate,MaritalStatus,Gender,HireDate,VacationHours,SickLeaveHours
EM,Ken,Sánchez,NULL,Chief Executive Officer,1969-01-29,S,M,2009-01-14,99,69
EM,Terri,Duffy,1,Vice President of Engineering,1971-08-01,S,F,2008-01-31,1,20
EM,Roberto,Tamburello,2,Engineering Manager,1974-11-12,M,M,2007-11-11,2,21
EM,Rob,Walters,3,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,80
EM,Gail,Erickson,3,Design Engineer,1952-09-27,M,F,2008-01-06,5,22
EM,Jossef,Goldberg,3,Design Engineer,1959-03-11,M,M,2008-01-24,6,23
EM,Dylan,Miller,3,Research and Development Manager,1987-02-24,M,M,2009-02-08,61,50
EM,Diane,Margheim,4,Research and Development Engineer,1986-06-05,S,F,2008-12-29,62,51
EM,Gigi,Matthew,4,Research and Development Engineer,1979-01-21,M,F,2009-01-16,63,51
EM,Michael,Raheem,4,Research and Development Manager,1984-11-30,M,M,2009-05-03,16,64
EM,Ovidiu,Cracium,3,Senior Tool Designer,1978-01-17,S,M,2010-12-05,7,23
EM,Thierry,D'Hers,4,Tool Designer,1959-07-29,M,M,2007-12-11,9,24
EM,Janice,Galvin,4,Tool Designer,1989-05-28,M,F,2010-12-23,8,24
EM,Michael,Sullivan,3,Senior Design Engineer,1979-06-16,S,M,2010-12-30,3,21
EM,Sharon,Salavaria,3,Design Engineer,1961-05-02,M,F,2011-01-18,4,22
EM,David,Bradley,1,Marketing Manager,1975-03-19,S,M,2007-12-20,40,40
EM,Kevin,Brown,2,Marketing Assistant,1987-05-03,S,M,2007-01-26,42,41
EM,John,Wood,2,Marketing Specialist,1978-03-06,S,M,2011-02-07,48,44
EM,Mary,Dempsey,2,Marketing Assistant,1978-01-29,S,F,2011-02-14,43,41
EM,Wanida,Benshoof,2,Marketing Assistant,1975-03-17,M,F,2011-01-07,41,40
EM,Terry,Eminhizer,2,Marketing Specialist,1986-02-04,M,M,2009-03-02,44,42
EM,Sariya,Harnpadoungsataya,2,Marketing Specialist,1987-05-21,S,M,2008-12-12,45,42
EM,Mary,Gibson,2,Marketing Specialist,1962-09-13,M,F,2009-01-12,46,43
EM,Jill,Williams,2,Marketing Specialist,1979-06-18,M,F,2009-01-18,47,43
EM,James,Hamilton,1,Vice President of Production,1983-01-07,S,M,2009-02-03,64,52
EM,Peter,Krebs,2,Production Control Manager,1982-11-03,M,M,2008-12-01,43,41
